Stock_IdType,Stock_Id,PriceDate,PriceInstant,PriceCurrency,LastOrMidPrice,Open,High,Low,Close,Volume,AdjustedOpen,AdjustedHigh,AdjustedLow,AdjustedClose,AdjustedVolume,Dividend,SplitFactor,QuoteTimestamp,LastSaleTimestamp,AskSize,AskPrice,BidPrice,BidSize,LastPrice,LastSize,PrevClosePrice,MidPrice
Ticker,NAVB,2020-02-13,,USD,0.98,0.96,1,0.95,0.98,97075,0.96,1,0.95,0.98,97075,0,,,,,,,,,,,
Ticker,CIO,2020-02-13,,USD,13.95,13.93,14.01,13.87,13.95,151270,13.93,14.01,13.87,13.95,151270,0,,,,,,,,,,,
Ticker,OFC,2020-02-13,,USD,29.6,29.6,29.86,29.43,29.6,854622,29.6,29.86,29.43,29.6,854622,0,,,,,,,,,,,
Ticker,WPX,2020-02-13,,USD,11.95,11.83,12.04,11.79,11.95,4081005,11.83,12.04,11.79,11.95,4081005,0,,,,,,,,,,,
Ticker,CGA,2020-02-13,,USD,2.97,2.9,3.0191,2.8958,2.97,10064,2.9,3.0191,2.8958,2.97,10064,0,,,,,,,,,,,
Ticker,NNN,2020-02-13,,USD,56.26,55.88,56.8,55.78,56.26,919378,55.88,56.8,55.78,56.26,919378,0,,,,,,,,,,,
Ticker,KOP,2020-02-13,,USD,34.57,34.95,35.23,34.41,34.57,96592,34.95,35.23,34.41,34.57,96592,0,,,,,,,,,,,
Ticker,AER,2020-02-13,,USD,62.45,63.44,64.86,62.045,62.45,1884151,63.44,64.86,62.045,62.45,1884151,0,,,,,,,,,,,
Ticker,BIO-B,2020-02-13,,USD,379.45,380.07,380.07,379.45,379.45,264,380.07,380.07,379.45,379.45,264,0,,,,,,,,,,,
Ticker,TGP-P-A,2020-02-13,,USD,26.36,26.05,26.4,26.05,26.36,6437,26.05,26.4,26.05,26.36,6437,0,,,,,,,,,,,
Ticker,HBI,2020-02-13,,USD,14.39,14.59,14.69,14.27,14.39,7753756,14.4385467128028,14.537508650519,14.1218685121107,14.2406228373702,7753756,0,,,,,,,,,,,
Ticker,E,2020-02-13,,USD,28.21,28.05,28.29,28.04,28.21,370787,28.05,28.29,28.04,28.21,370787,0,,,,,,,,,,,
Ticker,HZN,2020-02-13,,USD,3.45,3.49,3.49,3.44,3.45,10391,3.49,3.49,3.44,3.45,10391,0,,,,,,,,,,,
Ticker,MTRN,2020-02-13,,USD,55.04,57.86,58.8858,54.33,55.04,154813,57.7378153196391,58.7614491073143,54.2152697254751,54.9237703973891,154813,0,,,,,,,,,,,
Ticker,CI,2020-02-13,,USD,221.89,220.33,224.25,220.33,221.89,2115880,220.33,224.25,220.33,221.89,2115880,0,,,,,,,,,,,
Ticker,GFASY,2020-02-13,,USD,4.06,4.06,4.06,4.06,4.06,237,4.06,4.06,4.06,4.06,237,0,,,,,,,,,,,
Ticker,KSU,2020-02-13,,USD,173.46,170.32,173.91,170.32,173.46,1082825,170.32,173.91,170.32,173.46,1082825,0,,,,,,,,,,,
Ticker,HUM,2020-02-13,,USD,380.2,370.09,381.04,370.09,380.2,1344332,370.09,381.04,370.09,380.2,1344332,0,,,,,,,,,,,
Ticker,IBN,2020-02-13,,USD,15.09,15.14,15.22,15.085,15.09,5310618,15.14,15.22,15.085,15.09,5310618,0,,,,,,,,,,,
Ticker,MET,2020-02-13,,USD,52.38,52.32,52.52,51.9355,52.38,3762321,52.32,52.52,51.9355,52.38,3762321,0,,,,,,,,,,,
Ticker,RPT,2020-02-13,,USD,14.55,14.29,14.59,14.29,14.55,311241,14.29,14.59,14.29,14.55,311241,0,,,,,,,,,,,
Ticker,TNK,2020-02-13,,USD,16,15.05,16.16,15,16,925224,15.05,16.16,15,16,925224,0,,,,,,,,,,,
Ticker,PFSI,2020-02-13,,USD,35.46,34.53,35.6,33.9,35.46,3724688,34.53,35.6,33.9,35.46,3724688,0.12,,,,,,,,,,,
Ticker,CCZ,2020-02-13,,USD,56.976,56.976,56.976,56.976,56.976,109,56.976,56.976,56.976,56.976,109,0,,,,,,,,,,,
Ticker,MIXT,2020-02-13,,USD,14.11,13.71,14.11,13.71,14.11,56512,13.71,14.11,13.71,14.11,56512,0,,,,,,,,,,,
